shortName,longName
 James Madison ,James Madison Dukes
@ The Citadel ,The Citadel Bulldogs
@ Gardner-Webb ,Gardner-Webb Runnin' Bulldogs
 Charleston So. ,Charleston So. Buccaneers
@ Elon ,Elon Phoenix
@ N.C. Central ,N.C. Central Eagles
 Johnson C. Smith ,Johnson C. Smith Golden Bulls
 Marshall  ,Marshall  Thundering Herd
 Southern Miss.  ,Southern Miss.  Golden Eagles
 Temple  ,Temple  Owls
 Presbyterian ,Presbyterian Blue Hose
 FIU ,FIU Panthers
 Elon ,Elon Phoenix
Charlotte ,Charlotte 49ers
Charlotte ,Charlotte 49ers
Charlotte ,Charlotte 49ers
Charlotte ,Charlotte 49ers
Charlotte ,Charlotte 49ers
@ Virginia  ,Virginia  Cavaliers
 Presbyterian ,Presbyterian Blue Hose
Central Mich. ,Central Mich. Chippewas
 Northwestern ,Northwestern Wildcats
 Duquesne ,Duquesne Dukes
 Albany (NY) ,Albany (NY) Great Danes
 Albany (NY) ,Albany (NY) Great Danes
 Stony Brook ,Stony Brook Seawolves
@ Ohio St. ,Ohio St. Buckeyes
Buffalo  ,Buffalo  Bulls
@ Maryland  ,"Maryland  Terrapins, Terps"
 Middle Tenn. ,Middle Tenn. Blue Raiders
 North Dakota ,North Dakota Fighting Hawks
@ Ohio St. ,Ohio St. Buckeyes
@ Temple  ,Temple  Owls
@ Georgia Tech ,Georgia Tech Yellow Jackets
 South Carolina St. ,South Carolina St. Bulldogs
 South Carolina  ,South Carolina  Gamecocks
@ South Carolina  ,South Carolina  Gamecocks
 Hampton  ,Hampton  Pirates
@ Michigan  ,Michigan  Wolverines
 Nicholls St. ,Nicholls St. Colonels
 Idaho St. ,Idaho St. Bengals
Colorado  ,Colorado  Buffaloes
 Liberty  ,Liberty  Flames
 Bryant ,Bryant Bulldogs
 Monmouth ,Monmouth Hawks
 Central Conn. St. ,Central Conn. St. Blue Devils
@ Gardner-Webb ,Gardner-Webb Runnin' Bulldogs
 Charleston So. ,Charleston So. Buccaneers
 Hawaii  ,Hawaii  Rainbow Warriors
 Furman ,Furman Paladins
@ Jacksonville St. ,Jacksonville St. Gamecocks
 Florida A&M ,Florida A&M Rattlers
@ Lamar University ,Lamar University Cardinals
Coastal Caro. ,Coastal Caro. Chanticleers
Coastal Caro. ,Coastal Caro. Chanticleers
Coastal Caro. ,Coastal Caro. Chanticleers
Coastal Caro. ,Coastal Caro. Chanticleers
 Georgia Tech ,Georgia Tech Yellow Jackets
 Wofford ,Wofford Terriers
 Pittsburgh  ,Pittsburgh  Panthers
 South Carolina St. ,South Carolina St. Bulldogs
 North Carolina  ,North Carolina  Tar Heels
 South Carolina St. ,South Carolina St. Bulldogs
Clemson ,Clemson Tigers
 East Carolina ,East Carolina Pirates
@ Tulane ,Tulane Green Wave
 Central Ark. ,Central Ark. Bears
@ Minnesota  ,Minnesota  Golden Gophers
 Tulsa  ,Tulsa  Golden Hurricane
 Minnesota  ,Minnesota  Golden Gophers
 San Jose St. ,San Jose St. Spartans
 North Carolina  ,North Carolina  Tar Heels
@ Northwestern ,Northwestern Wildcats
" Indiana  @ Bronx, N.Y.",Indiana  Hoosiers
 Miami (FL) ,Miami (FL) Hurricanes
East Carolina ,East Carolina Pirates
 Western Caro. ,Western Caro. Catamounts
 UAB ,UAB Blazers
@ FIU ,FIU Panthers
Eastern Mich. ,Eastern Mich. Eagles
@ Old Dominion ,Old Dominion Monarchs
 Morgan St. ,Morgan St. Bears
@ Tulane ,Tulane Green Wave
 Old Dominion ,Old Dominion Monarchs
East Carolina ,East Carolina Pirates
 Troy ,Troy Trojans
 N.C. Central ,N.C. Central Eagles
 N.C. Central ,N.C. Central Eagles
 N.C. Central ,N.C. Central Eagles
Duke ,Duke Blue Devils
Duke ,Duke Blue Devils
 UTEP ,UTEP Miners
 Cal Poly ,Cal Poly Mustangs
 UC Davis ,UC Davis Aggies
 Northern Colo. ,Northern Colo. Bears
Colorado St. ,Colorado St. Rams
 Mississippi Val. ,Mississippi Val. Delta Devils
@ Penn St. ,Penn St. Nittany Lions
 Western Ky. ,Western Ky. Hilltoppers
 Bethune-Cookman ,Bethune-Cookman Wildcats
@ Louisiana Tech ,Louisiana Tech Bulldogs
@ North Texas ,North Texas Mean Green
 Southern Ill. ,Southern Ill. Salukis
@ Nebraska  ,"Nebraska  Cornhuskers, Huskers"
@ Rice ,Rice Owls
Fla. Atlantic ,Fla. Atlantic Owls
 Vanderbilt ,Vanderbilt Commodores
" Iowa  @ Tampa, Fla.",Iowa  Hawkeyes
 Eastern Ky. ,Eastern Ky. Colonels
 Chattanooga  ,Chattanooga  Mocs
 Texas St. ,Texas St. Bobcats
Florida St. ,Florida St. Seminoles
 Idaho  ,Idaho  Vandals
